Date,Open,High,Low,Close,Volume
22-Jan-14,40050.00,41000.00,40050.00,40800.00,621580
21-Jan-14,40200.00,40850.00,39950.00,40500.00,654160
20-Jan-14,40200.00,40450.00,39650.00,40100.00,601400
17-Jan-14,41050.00,41150.00,39900.00,40350.00,1302690
16-Jan-14,41950.00,42100.00,41300.00,41400.00,619560
15-Jan-14,41250.00,41850.00,40900.00,41700.00,527010
14-Jan-14,41500.00,41700.00,40750.00,41000.00,766490
13-Jan-14,41050.00,41850.00,41000.00,41300.00,509050
10-Jan-14,41800.00,42050.00,40600.00,41000.00,845220
9-Jan-14,41800.00,42700.00,41750.00,42050.00,1059460
8-Jan-14,41600.00,42000.00,41100.00,41600.00,896920
7-Jan-14,41900.00,42400.00,41500.00,41500.00,1359270
6-Jan-14,42500.00,43450.00,41800.00,42600.00,770150
3-Jan-14,43550.00,43850.00,42450.00,42450.00,795950
2-Jan-14,44700.00,44750.00,42950.00,43850.00,1205610
30-Dec-13,42000.00,43900.00,42000.00,43900.00,1027710
27-Dec-13,42000.00,42550.00,41700.00,42450.00,617640
26-Dec-13,42150.00,42500.00,42050.00,42350.00,660670
24-Dec-13,42000.00,42200.00,41650.00,41950.00,537030
23-Dec-13,42350.00,42350.00,41550.00,41900.00,604550
20-Dec-13,41000.00,42250.00,40950.00,42050.00,1307600
19-Dec-13,42000.00,42250.00,40400.00,41050.00,1168300
18-Dec-13,39650.00,41550.00,39650.00,41300.00,866660
17-Dec-13,39500.00,39800.00,39200.00,39650.00,482260
16-Dec-13,39450.00,40100.00,39250.00,39500.00,618740
13-Dec-13,39350.00,39950.00,39050.00,39950.00,475790
12-Dec-13,39850.00,40100.00,39450.00,39450.00,628250
11-Dec-13,40800.00,40800.00,39900.00,40150.00,564100
10-Dec-13,40450.00,40950.00,40300.00,40650.00,612840
9-Dec-13,40000.00,40300.00,39800.00,40250.00,470630
6-Dec-13,39400.00,39750.00,38900.00,39450.00,621580
5-Dec-13,39800.00,40100.00,38800.00,39450.00,744880
4-Dec-13,40100.00,40900.00,39800.00,39800.00,940360
3-Dec-13,40200.00,40950.00,39700.00,40450.00,983940
2-Dec-13,39600.00,40400.00,39600.00,40100.00,609460
29-Nov-13,40100.00,40400.00,39600.00,39700.00,779540
28-Nov-13,40200.00,40450.00,39550.00,40400.00,762780
27-Nov-13,39850.00,40100.00,39500.00,40100.00,445360
26-Nov-13,40000.00,40250.00,39400.00,39850.00,911240
25-Nov-13,40500.00,41400.00,40150.00,40150.00,582980
22-Nov-13,40100.00,40650.00,39600.00,40300.00,607210
21-Nov-13,39850.00,40000.00,39050.00,39750.00,601570
20-Nov-13,40900.00,40900.00,39900.00,40000.00,740970
19-Nov-13,39400.00,41000.00,39400.00,40400.00,557380
18-Nov-13,40000.00,40750.00,39300.00,39800.00,659800
15-Nov-13,38250.00,40550.00,38150.00,39800.00,1053320
14-Nov-13,37950.00,38200.00,37600.00,37850.00,916780
13-Nov-13,39300.00,39400.00,37850.00,37950.00,862410
12-Nov-13,39400.00,39550.00,39000.00,39100.00,498550
11-Nov-13,39250.00,39750.00,38500.00,39000.00,813100
8-Nov-13,38600.00,39050.00,38350.00,38950.00,744240
7-Nov-13,39050.00,39500.00,38950.00,39100.00,450090
6-Nov-13,38900.00,39500.00,38800.00,39150.00,531970
5-Nov-13,39100.00,39700.00,38900.00,39150.00,501220
4-Nov-13,40050.00,40050.00,38950.00,39200.00,856700
1-Nov-13,40650.00,41000.00,40050.00,40450.00,446310
31-Oct-13,40600.00,41150.00,40300.00,40900.00,753700
30-Oct-13,40500.00,41250.00,39950.00,41100.00,806220
29-Oct-13,39800.00,40550.00,39750.00,40100.00,958000
28-Oct-13,40450.00,40450.00,39800.00,40100.00,929580
25-Oct-13,40800.00,40800.00,39800.00,40000.00,761830
24-Oct-13,40500.00,41100.00,40250.00,40850.00,663590
23-Oct-13,40800.00,41250.00,40100.00,40200.00,2099840
22-Oct-13,42050.00,42050.00,41050.00,41350.00,856960
21-Oct-13,43000.00,43100.00,42150.00,42150.00,1007120
18-Oct-13,41750.00,42500.00,41250.00,42500.00,950830
17-Oct-13,42200.00,42450.00,41600.00,42000.00,1121850
16-Oct-13,40250.00,41900.00,40000.00,41400.00,1737130
15-Oct-13,39450.00,40200.00,39400.00,40100.00,1025970
14-Oct-13,38800.00,39750.00,38800.00,39250.00,809360
11-Oct-13,37750.00,39800.00,37600.00,39250.00,1964930
10-Oct-13,37500.00,37750.00,37300.00,37350.00,868360
8-Oct-13,37650.00,38350.00,37250.00,38100.00,385410
7-Oct-13,38000.00,38700.00,37800.00,37950.00,590140
4-Oct-13,37900.00,38500.00,37450.00,38000.00,850350
2-Oct-13,37350.00,37850.00,36850.00,37450.00,473760
1-Oct-13,36550.00,37700.00,36550.00,37150.00,694530
30-Sep-13,37250.00,37650.00,36850.00,36850.00,686250
27-Sep-13,37850.00,38500.00,37700.00,37700.00,431160
26-Sep-13,37500.00,38200.00,37500.00,37800.00,539690
25-Sep-13,38200.00,38500.00,37400.00,37800.00,852770
24-Sep-13,38350.00,38850.00,38050.00,38400.00,591090
23-Sep-13,38800.00,39150.00,38200.00,38600.00,1464980
17-Sep-13,37950.00,38250.00,37550.00,37850.00,713240
16-Sep-13,38400.00,38600.00,37900.00,37950.00,898260
13-Sep-13,37200.00,38250.00,37200.00,38000.00,916520
12-Sep-13,38850.00,38850.00,37800.00,38200.00,1245260
11-Sep-13,38300.00,38900.00,37850.00,38850.00,1073030
10-Sep-13,37600.00,38300.00,37400.00,38300.00,1654390
9-Sep-13,36800.00,37700.00,36500.00,37400.00,1708790
6-Sep-13,36450.00,36700.00,36050.00,36400.00,839980
5-Sep-13,36600.00,36850.00,35950.00,36200.00,746980
4-Sep-13,36100.00,36900.00,35900.00,36700.00,921980
3-Sep-13,35600.00,36450.00,35350.00,36250.00,1166800
2-Sep-13,35400.00,35500.00,35100.00,35300.00,516100
30-Aug-13,34600.00,35600.00,34600.00,35000.00,1144790
29-Aug-13,33400.00,34900.00,33400.00,34400.00,1165660
28-Aug-13,33900.00,33900.00,33150.00,33450.00,840260
27-Aug-13,33800.00,34000.00,33700.00,33950.00,752590
26-Aug-13,34100.00,34450.00,33850.00,34150.00,596760
23-Aug-13,33600.00,34650.00,33600.00,34350.00,656780
22-Aug-13,34350.00,34650.00,33900.00,34300.00,711210
21-Aug-13,35200.00,35350.00,34450.00,34650.00,847640
20-Aug-13,35000.00,35600.00,35000.00,35100.00,601130
19-Aug-13,35100.00,35350.00,34900.00,35250.00,607540
16-Aug-13,35100.00,35850.00,34850.00,35450.00,547250
14-Aug-13,35700.00,36000.00,35450.00,35550.00,804820
13-Aug-13,35500.00,36100.00,35150.00,36100.00,653430
12-Aug-13,35550.00,35950.00,35250.00,35700.00,515810
9-Aug-13,34700.00,35950.00,34700.00,35550.00,765630
8-Aug-13,34800.00,35350.00,34550.00,35050.00,576030
7-Aug-13,35000.00,35300.00,34700.00,34850.00,633260
6-Aug-13,36450.00,36450.00,35050.00,35450.00,926300
5-Aug-13,36500.00,36750.00,35900.00,36200.00,359660
2-Aug-13,36500.00,37100.00,36300.00,36500.00,969610
1-Aug-13,36450.00,36750.00,35800.00,36250.00,659010
31-Jul-13,35550.00,36500.00,35500.00,36000.00,1064240
30-Jul-13,35450.00,35900.00,35250.00,35650.00,594320
29-Jul-13,35350.00,35650.00,35050.00,35250.00,421020
26-Jul-13,35400.00,35800.00,35150.00,35200.00,403260
25-Jul-13,35550.00,35950.00,35000.00,35700.00,651550
24-Jul-13,35800.00,36150.00,35350.00,35900.00,893610
23-Jul-13,34600.00,36150.00,34350.00,35750.00,1656350
22-Jul-13,34000.00,34800.00,34000.00,34550.00,938580
19-Jul-13,34250.00,34400.00,33600.00,34100.00,795970
18-Jul-13,34150.00,34450.00,33700.00,34300.00,645480
17-Jul-13,34000.00,34850.00,33600.00,34500.00,1382940
16-Jul-13,33650.00,34300.00,33400.00,34000.00,1149590
15-Jul-13,33750.00,34100.00,33150.00,33850.00,969860
12-Jul-13,33600.00,34050.00,33400.00,34050.00,1049820
