Date,Open,High,Low,Close,Volume
22-Jan-14,35700.00,36150.00,35650.00,35850.00,2093630
21-Jan-14,34300.00,35800.00,34300.00,35650.00,2126600
20-Jan-14,34000.00,34550.00,33700.00,34250.00,1391210
17-Jan-14,34750.00,34800.00,34000.00,34150.00,1427750
16-Jan-14,35000.00,35150.00,34500.00,34750.00,1346020
15-Jan-14,35050.00,35200.00,34700.00,34750.00,1840650
14-Jan-14,34850.00,35350.00,34600.00,34850.00,1427730
13-Jan-14,35850.00,35900.00,34750.00,35100.00,2094860
10-Jan-14,37550.00,37850.00,35700.00,35700.00,2437380
9-Jan-14,37550.00,38000.00,37400.00,37850.00,1330310
8-Jan-14,38300.00,38300.00,37400.00,37850.00,879660
7-Jan-14,36450.00,38250.00,36450.00,38200.00,1143520
6-Jan-14,37050.00,37250.00,36700.00,36700.00,1053920
3-Jan-14,37700.00,37900.00,36950.00,37100.00,1347380
2-Jan-14,38400.00,38650.00,37850.00,38050.00,964750
30-Dec-13,38300.00,38300.00,37800.00,38050.00,490990
27-Dec-13,37500.00,38300.00,37350.00,38000.00,676270
26-Dec-13,37800.00,37900.00,37400.00,37450.00,1265330
24-Dec-13,37950.00,38150.00,37550.00,37600.00,755080
23-Dec-13,38300.00,38500.00,37550.00,37600.00,887870
20-Dec-13,38050.00,38400.00,37650.00,38400.00,1033940
19-Dec-13,38100.00,38450.00,37550.00,38200.00,1756420
18-Dec-13,37500.00,37950.00,37100.00,37500.00,1312530
17-Dec-13,36050.00,37250.00,36000.00,37200.00,1792520
16-Dec-13,35500.00,35900.00,35400.00,35550.00,951620
13-Dec-13,36200.00,36300.00,35100.00,35450.00,1275000
12-Dec-13,36550.00,36600.00,35850.00,36100.00,1194210
11-Dec-13,37650.00,37950.00,36550.00,36800.00,1128160
10-Dec-13,37850.00,38100.00,37450.00,37950.00,906380
9-Dec-13,37600.00,38200.00,37500.00,37850.00,876510
6-Dec-13,37500.00,37850.00,37050.00,37200.00,1277090
5-Dec-13,38000.00,38450.00,37150.00,37600.00,993140
4-Dec-13,38400.00,38500.00,37900.00,38000.00,1021100
3-Dec-13,38550.00,39150.00,38550.00,38600.00,704790
2-Dec-13,39300.00,39400.00,38600.00,38650.00,1010570
29-Nov-13,39500.00,39500.00,39000.00,39200.00,668250
28-Nov-13,39500.00,40000.00,39100.00,39300.00,1225530
27-Nov-13,40200.00,40350.00,38900.00,39350.00,1729940
26-Nov-13,40200.00,40250.00,39550.00,39950.00,649220
25-Nov-13,39950.00,40700.00,39950.00,40000.00,618730
22-Nov-13,40900.00,40900.00,39550.00,40000.00,1073130
21-Nov-13,40600.00,40850.00,39850.00,40300.00,850250
20-Nov-13,40800.00,41100.00,40100.00,40650.00,1219600
19-Nov-13,39600.00,41550.00,39350.00,41100.00,2674810
18-Nov-13,40150.00,40200.00,39450.00,39500.00,1421200
15-Nov-13,38800.00,40300.00,38700.00,40150.00,1195810
14-Nov-13,38850.00,39000.00,38000.00,38350.00,1120180
13-Nov-13,39800.00,40500.00,38350.00,38400.00,1310920
12-Nov-13,39850.00,40750.00,39550.00,39900.00,1156280
11-Nov-13,40750.00,41100.00,39300.00,39450.00,1142670
8-Nov-13,39700.00,41300.00,39700.00,40400.00,1442210
7-Nov-13,40350.00,40400.00,39650.00,40150.00,853150
6-Nov-13,39000.00,40400.00,38850.00,40250.00,1550730
5-Nov-13,39500.00,40000.00,38950.00,39000.00,1012660
4-Nov-13,39050.00,40300.00,38600.00,39600.00,1312060
