Date,Open,High,Low,Close,Volume
17-Jan-14,12350.00,12450.00,12250.00,12300.00,1307280
16-Jan-14,12600.00,12700.00,12400.00,12400.00,940450
15-Jan-14,12500.00,12550.00,12400.00,12500.00,988380
14-Jan-14,12550.00,12700.00,12350.00,12400.00,1487840
13-Jan-14,12700.00,12850.00,12550.00,12600.00,1318250
10-Jan-14,13100.00,13150.00,12650.00,12650.00,1599560
9-Jan-14,12950.00,13350.00,12850.00,13050.00,1747500
8-Jan-14,12900.00,13100.00,12850.00,12900.00,1017640
7-Jan-14,12800.00,13150.00,12750.00,12900.00,1174610
6-Jan-14,12950.00,13150.00,12700.00,12800.00,1922410
3-Jan-14,13250.00,13400.00,12750.00,12950.00,1721360
2-Jan-14,13400.00,13750.00,13300.00,13300.00,2142550
30-Dec-13,12850.00,13350.00,12800.00,13300.00,2778980
27-Dec-13,12800.00,12850.00,12300.00,12800.00,1269500
26-Dec-13,12850.00,12900.00,12700.00,12900.00,1152500
24-Dec-13,12800.00,12950.00,12750.00,12800.00,1040520
23-Dec-13,12800.00,12850.00,12650.00,12750.00,864190
20-Dec-13,12550.00,12750.00,12400.00,12750.00,931520
19-Dec-13,12550.00,12850.00,12500.00,12500.00,1972690
18-Dec-13,12000.00,12450.00,11950.00,12350.00,2107980
17-Dec-13,12050.00,12150.00,11850.00,11950.00,1545750
16-Dec-13,12200.00,12300.00,11900.00,12000.00,1105530
13-Dec-13,12200.00,12350.00,12100.00,12300.00,1033400
12-Dec-13,12300.00,12500.00,12200.00,12300.00,1340990
11-Dec-13,12500.00,12550.00,12200.00,12450.00,1121440
10-Dec-13,12600.00,12650.00,12500.00,12600.00,569830
9-Dec-13,12650.00,12700.00,12450.00,12600.00,1003530
6-Dec-13,12200.00,12650.00,12200.00,12450.00,967420
5-Dec-13,12500.00,12550.00,12300.00,12400.00,911010
4-Dec-13,12600.00,12650.00,12450.00,12500.00,700330
3-Dec-13,12750.00,12900.00,12600.00,12600.00,892640
2-Dec-13,12600.00,12850.00,12600.00,12750.00,892870
29-Nov-13,12700.00,12850.00,12450.00,12650.00,1463250
28-Nov-13,12800.00,12950.00,12650.00,12800.00,1055400
27-Nov-13,12750.00,12850.00,12550.00,12850.00,1036030
26-Nov-13,12600.00,12800.00,12400.00,12800.00,1105430
25-Nov-13,12800.00,12950.00,12650.00,12650.00,793070
22-Nov-13,12650.00,12800.00,12500.00,12800.00,956270
21-Nov-13,12600.00,12650.00,12400.00,12550.00,997170
20-Nov-13,12600.00,12850.00,12550.00,12550.00,1766640
19-Nov-13,12300.00,12700.00,12250.00,12550.00,1695500
18-Nov-13,12250.00,12400.00,12100.00,12250.00,1159560
15-Nov-13,11850.00,12450.00,11800.00,12250.00,1801930
14-Nov-13,11800.00,11900.00,11600.00,11750.00,1800570
13-Nov-13,12100.00,12250.00,11700.00,11800.00,1931180
12-Nov-13,12300.00,12300.00,12000.00,12150.00,1384370
11-Nov-13,12100.00,12300.00,12000.00,12150.00,952840
8-Nov-13,12200.00,12250.00,11950.00,12000.00,1808730
7-Nov-13,12400.00,12450.00,12100.00,12250.00,1391390
6-Nov-13,12250.00,12550.00,12200.00,12400.00,1498510
5-Nov-13,12200.00,12450.00,12050.00,12350.00,1270510
4-Nov-13,12250.00,12300.00,11950.00,12200.00,3086420
1-Nov-13,12550.00,12750.00,12300.00,12350.00,1310730
31-Oct-13,12650.00,12750.00,12250.00,12600.00,2437500
30-Oct-13,12800.00,12950.00,12550.00,12750.00,2213460
29-Oct-13,12750.00,12800.00,12600.00,12800.00,825440
28-Oct-13,12800.00,12900.00,12600.00,12800.00,727830
25-Oct-13,13000.00,13050.00,12500.00,12750.00,2155700
24-Oct-13,12800.00,13150.00,12800.00,12950.00,1289630
23-Oct-13,13200.00,13250.00,12800.00,12850.00,1371470
22-Oct-13,13150.00,13200.00,12950.00,13150.00,1145080
21-Oct-13,13500.00,13600.00,13150.00,13200.00,1298900
18-Oct-13,13400.00,13600.00,13250.00,13500.00,1266510
17-Oct-13,13350.00,13450.00,13100.00,13400.00,2798310
16-Oct-13,12900.00,13200.00,12850.00,13100.00,2114010
15-Oct-13,13000.00,13100.00,12850.00,12950.00,1211590
14-Oct-13,12700.00,13100.00,12650.00,12950.00,2191540
