Date,Open,High,Low,Close,Volume
17-Jan-14,35550.00,35750.00,34750.00,34750.00,1050850
16-Jan-14,35100.00,35550.00,34950.00,35450.00,872150
15-Jan-14,35300.00,36050.00,34900.00,35100.00,1189280
14-Jan-14,35350.00,35450.00,34650.00,35250.00,1315330
13-Jan-14,36300.00,36400.00,35050.00,35300.00,1415140
10-Jan-14,36150.00,36400.00,35800.00,36400.00,1731840
9-Jan-14,35800.00,36500.00,35550.00,36100.00,2091930
8-Jan-14,35700.00,35800.00,35250.00,35400.00,1073960
7-Jan-14,35400.00,35850.00,34950.00,35600.00,1790760
6-Jan-14,34250.00,35450.00,34250.00,35250.00,1636800
3-Jan-14,34550.00,35000.00,34100.00,34250.00,1725100
2-Jan-14,34800.00,34950.00,34050.00,34550.00,1212770
30-Dec-13,34500.00,34900.00,34400.00,34750.00,968800
27-Dec-13,34000.00,34550.00,33700.00,34550.00,1038550
26-Dec-13,34400.00,34800.00,33650.00,33950.00,1353730
24-Dec-13,34000.00,34450.00,33750.00,34300.00,1203550
23-Dec-13,33650.00,34150.00,33300.00,33950.00,1464930
20-Dec-13,32850.00,33550.00,32750.00,33550.00,1846960
19-Dec-13,32950.00,33050.00,32500.00,32850.00,1167000
18-Dec-13,32550.00,32950.00,32350.00,32850.00,1431220
17-Dec-13,32800.00,32850.00,32300.00,32600.00,1055660
16-Dec-13,32050.00,32950.00,32050.00,32500.00,1972280
13-Dec-13,31900.00,32150.00,31500.00,32150.00,1013390
12-Dec-13,31650.00,32050.00,31300.00,31700.00,1246650
11-Dec-13,32150.00,32600.00,31850.00,31850.00,1560830
10-Dec-13,32000.00,32400.00,31800.00,32000.00,1737380
9-Dec-13,31250.00,32250.00,31150.00,32250.00,2257220
6-Dec-13,31000.00,31250.00,30400.00,30700.00,1260460
5-Dec-13,31550.00,31650.00,30850.00,30900.00,1969020
4-Dec-13,31500.00,31950.00,31050.00,31650.00,2693770
3-Dec-13,32000.00,32350.00,31350.00,31750.00,2031170
2-Dec-13,32200.00,32250.00,31850.00,31950.00,1419970
29-Nov-13,32100.00,32300.00,31850.00,32000.00,1504560
28-Nov-13,32750.00,32900.00,32100.00,32300.00,2230270
27-Nov-13,32550.00,33100.00,32400.00,33100.00,1463010
26-Nov-13,32850.00,33000.00,32650.00,32700.00,1905620
25-Nov-13,32800.00,33350.00,32600.00,33100.00,2921300
22-Nov-13,32300.00,33050.00,32150.00,32700.00,4328380
21-Nov-13,31950.00,32000.00,31400.00,31750.00,2499490
20-Nov-13,32400.00,33050.00,31650.00,31950.00,6036290
19-Nov-13,29700.00,31900.00,29700.00,31850.00,5602820
18-Nov-13,29900.00,29950.00,29450.00,29800.00,795880
15-Nov-13,30000.00,30250.00,29650.00,29850.00,1105170
14-Nov-13,29900.00,30150.00,29750.00,29900.00,1675070
13-Nov-13,29750.00,30600.00,29550.00,30100.00,3342720
12-Nov-13,29050.00,29900.00,28900.00,29700.00,1810720
11-Nov-13,29300.00,29450.00,29000.00,29150.00,981770
8-Nov-13,29250.00,29450.00,28900.00,29200.00,1160540
7-Nov-13,28850.00,29550.00,28850.00,29100.00,2452400
6-Nov-13,28400.00,28650.00,28100.00,28450.00,1297670
5-Nov-13,28350.00,28850.00,28150.00,28400.00,1337890
4-Nov-13,28250.00,28250.00,28000.00,28150.00,653190
1-Nov-13,28150.00,28750.00,28150.00,28200.00,1666660
31-Oct-13,28000.00,28350.00,27850.00,28350.00,1296700
30-Oct-13,28300.00,28350.00,27900.00,28150.00,1173580
29-Oct-13,28000.00,28550.00,27850.00,28400.00,1189620
28-Oct-13,28250.00,28350.00,27950.00,28050.00,621070
25-Oct-13,28100.00,28200.00,27750.00,28150.00,1052010
24-Oct-13,28150.00,28400.00,27950.00,28150.00,1502120
23-Oct-13,27850.00,28600.00,27750.00,28400.00,2146480
22-Oct-13,27450.00,27850.00,27300.00,27650.00,1155010
21-Oct-13,27300.00,27600.00,27050.00,27450.00,1650780
18-Oct-13,27350.00,27700.00,27050.00,27250.00,2756180
17-Oct-13,29200.00,29350.00,27300.00,27500.00,7368340
16-Oct-13,29600.00,30000.00,29300.00,29500.00,951400
15-Oct-13,29750.00,30150.00,29600.00,29700.00,1403670
14-Oct-13,29550.00,30000.00,29100.00,29750.00,1965810
11-Oct-13,29200.00,29400.00,29000.00,29250.00,1295980
10-Oct-13,28950.00,29150.00,27850.00,28950.00,1828250
8-Oct-13,29100.00,29150.00,28800.00,28900.00,703820
7-Oct-13,29100.00,29350.00,28900.00,29150.00,881940
4-Oct-13,29350.00,29600.00,28700.00,29100.00,1516460
2-Oct-13,29400.00,29550.00,29200.00,29350.00,1150350
1-Oct-13,29800.00,30050.00,29250.00,29500.00,1397060
30-Sep-13,29950.00,30150.00,29600.00,30050.00,911190
27-Sep-13,29900.00,30050.00,29700.00,30050.00,791740
26-Sep-13,29550.00,30000.00,29500.00,29700.00,748840
25-Sep-13,29900.00,30100.00,29300.00,29550.00,1306410
24-Sep-13,29800.00,30150.00,29700.00,29800.00,1375020
23-Sep-13,30300.00,30500.00,29800.00,30000.00,1752810
17-Sep-13,30400.00,30600.00,30000.00,30500.00,810750
16-Sep-13,30600.00,30800.00,30100.00,30350.00,988170
13-Sep-13,30400.00,30750.00,30350.00,30600.00,1187370
12-Sep-13,30500.00,30800.00,30400.00,30500.00,1311800
11-Sep-13,30300.00,30550.00,30150.00,30500.00,1212210
10-Sep-13,30050.00,30350.00,29700.00,30300.00,1553460
9-Sep-13,30200.00,30250.00,29800.00,30100.00,1191310
6-Sep-13,30000.00,30100.00,29750.00,30050.00,757870
5-Sep-13,29850.00,30100.00,29650.00,30050.00,1080780
4-Sep-13,29800.00,30050.00,29550.00,29700.00,1113920
3-Sep-13,30500.00,30500.00,29600.00,29850.00,1902380
2-Sep-13,30700.00,30800.00,30200.00,30400.00,879120
30-Aug-13,30500.00,30850.00,30250.00,30700.00,1509550
29-Aug-13,29850.00,30450.00,29750.00,30450.00,2370260
28-Aug-13,29200.00,29850.00,29150.00,29700.00,1360590
27-Aug-13,29350.00,30000.00,29350.00,29600.00,1625430
26-Aug-13,28800.00,29400.00,28600.00,29100.00,743730
23-Aug-13,29000.00,29050.00,28300.00,28750.00,1570350
22-Aug-13,28750.00,29450.00,28550.00,29050.00,2319190
21-Aug-13,29700.00,29750.00,28550.00,28650.00,1488650
20-Aug-13,29550.00,30100.00,29350.00,29500.00,1094720
19-Aug-13,30000.00,30200.00,29650.00,29750.00,1053680
16-Aug-13,29200.00,30100.00,29100.00,29850.00,1625880
14-Aug-13,29850.00,29850.00,29200.00,29500.00,1265580
13-Aug-13,29500.00,29950.00,29350.00,29900.00,1084680
12-Aug-13,29150.00,29750.00,29150.00,29550.00,1357870
9-Aug-13,29300.00,29450.00,28850.00,29300.00,1642890
8-Aug-13,28600.00,29300.00,28550.00,29100.00,2887900
7-Aug-13,28050.00,28300.00,27800.00,27800.00,705380
6-Aug-13,28000.00,28300.00,27700.00,28200.00,908530
5-Aug-13,28100.00,28300.00,27900.00,28100.00,682170
2-Aug-13,28700.00,28800.00,28200.00,28350.00,778210
1-Aug-13,28600.00,28850.00,28450.00,28600.00,627800
31-Jul-13,28200.00,28750.00,28100.00,28650.00,1167560
30-Jul-13,28050.00,28550.00,28000.00,28350.00,914410
29-Jul-13,27950.00,28250.00,27850.00,27850.00,1014410
26-Jul-13,28400.00,28500.00,27900.00,28150.00,1324390
25-Jul-13,28900.00,29000.00,28150.00,28600.00,2152190
24-Jul-13,29200.00,29250.00,29000.00,29150.00,1239400
23-Jul-13,29100.00,29250.00,28850.00,29150.00,1016450
22-Jul-13,28800.00,29300.00,28750.00,29000.00,770550
19-Jul-13,29050.00,29100.00,28600.00,28950.00,1203220
18-Jul-13,28300.00,29200.00,28100.00,29000.00,3040500
17-Jul-13,28200.00,28350.00,27900.00,28050.00,1702300
16-Jul-13,28050.00,28100.00,27550.00,27650.00,731190
15-Jul-13,27700.00,28050.00,27000.00,28050.00,1290390
12-Jul-13,27750.00,27800.00,27400.00,27750.00,755840
11-Jul-13,27400.00,27600.00,26950.00,27500.00,1095320
10-Jul-13,26850.00,27450.00,26800.00,27000.00,759160
9-Jul-13,27300.00,27350.00,26750.00,26950.00,953120
8-Jul-13,27550.00,27700.00,26850.00,27400.00,1260330
5-Jul-13,27300.00,27950.00,27250.00,27850.00,2378430
4-Jul-13,26500.00,27200.00,26500.00,27100.00,1624400
3-Jul-13,26650.00,27050.00,26350.00,26450.00,1362630
2-Jul-13,26300.00,27100.00,25900.00,26850.00,1996130
1-Jul-13,26400.00,26650.00,26200.00,26350.00,1035320
28-Jun-13,25800.00,26800.00,25800.00,26500.00,1899770
27-Jun-13,25300.00,26200.00,25300.00,25750.00,1443460
26-Jun-13,25200.00,25650.00,24950.00,25300.00,1544420
25-Jun-13,25400.00,25600.00,24500.00,24850.00,2450030
24-Jun-13,26000.00,26100.00,25650.00,25650.00,1333080
21-Jun-13,25800.00,26300.00,25700.00,26250.00,2514140
20-Jun-13,26600.00,26800.00,26300.00,26350.00,1496390
19-Jun-13,27050.00,27100.00,26550.00,27000.00,1664580
18-Jun-13,26750.00,27500.00,26600.00,27200.00,2014700
17-Jun-13,26900.00,27250.00,26400.00,26700.00,1456260
14-Jun-13,26200.00,26950.00,25900.00,26950.00,2231850
13-Jun-13,26250.00,26450.00,25900.00,25900.00,1752630
12-Jun-13,26400.00,26450.00,26200.00,26350.00,913400
11-Jun-13,26650.00,26850.00,26150.00,26500.00,1771050
10-Jun-13,26050.00,26750.00,26000.00,26550.00,2163960
7-Jun-13,25800.00,26000.00,25550.00,25600.00,1813570
5-Jun-13,26300.00,26400.00,25850.00,25900.00,2346270
4-Jun-13,26400.00,26550.00,26100.00,26400.00,1944980
3-Jun-13,26550.00,26750.00,26000.00,26250.00,3015640
31-May-13,27550.00,27600.00,26700.00,26800.00,3137010
30-May-13,27300.00,27750.00,27200.00,27500.00,2910450
29-May-13,28050.00,28150.00,27000.00,27200.00,7426520
28-May-13,29600.00,29600.00,28400.00,28650.00,3427620
27-May-13,29750.00,29750.00,29200.00,29600.00,1105660
24-May-13,29900.00,29950.00,29350.00,29750.00,1281950
23-May-13,29300.00,29850.00,29300.00,29800.00,1692090
22-May-13,29400.00,29700.00,29250.00,29250.00,1864730
21-May-13,29650.00,29850.00,29050.00,29250.00,2314190
20-May-13,30550.00,30600.00,29600.00,29700.00,2531230
16-May-13,30350.00,30700.00,30350.00,30500.00,1010710
15-May-13,30550.00,30600.00,30100.00,30300.00,1811120
14-May-13,30150.00,30600.00,30100.00,30400.00,2027870
13-May-13,29750.00,30150.00,29650.00,30000.00,1723700
10-May-13,30200.00,30350.00,29250.00,29550.00,3550440
9-May-13,31250.00,31500.00,29950.00,30100.00,4406950
8-May-13,31550.00,31700.00,30900.00,31400.00,946460
7-May-13,31750.00,32150.00,31200.00,31400.00,1318450
6-May-13,32500.00,32700.00,31650.00,31650.00,1940180
3-May-13,32400.00,32850.00,31800.00,32500.00,1313940
2-May-13,31900.00,32450.00,31500.00,32450.00,1897880
30-Apr-13,32500.00,32950.00,31300.00,31650.00,2024120
29-Apr-13,32000.00,32450.00,31500.00,32400.00,881640
26-Apr-13,31100.00,32400.00,31100.00,31800.00,1178790
25-Apr-13,32200.00,32250.00,31150.00,31250.00,1425010
24-Apr-13,32400.00,32450.00,31750.00,32250.00,1262480
23-Apr-13,32450.00,32650.00,31900.00,32300.00,1294720
22-Apr-13,31950.00,32950.00,31900.00,32600.00,1418520
19-Apr-13,32250.00,32650.00,31800.00,32000.00,1092090
18-Apr-13,32050.00,32750.00,31900.00,32200.00,1254530
17-Apr-13,31650.00,33000.00,31650.00,32300.00,2709920
16-Apr-13,30350.00,32000.00,30350.00,31850.00,2671110
15-Apr-13,29900.00,30700.00,29550.00,30600.00,1470970
12-Apr-13,29500.00,30300.00,29500.00,29900.00,1591150
11-Apr-13,28950.00,29700.00,28650.00,29700.00,1944030
10-Apr-13,29800.00,29900.00,28550.00,28700.00,2145120
9-Apr-13,29600.00,29900.00,28900.00,29350.00,1906530
8-Apr-13,30450.00,30600.00,29600.00,29700.00,1388130
5-Apr-13,30950.00,31300.00,30350.00,30750.00,1543970
4-Apr-13,30950.00,31500.00,30350.00,31500.00,1768410
3-Apr-13,31350.00,31450.00,30800.00,31350.00,1049980
2-Apr-13,31050.00,31600.00,30900.00,31300.00,1565380
1-Apr-13,30550.00,31200.00,30450.00,31200.00,1292140
29-Mar-13,30750.00,30750.00,30150.00,30300.00,1009310
28-Mar-13,29900.00,30600.00,29650.00,30450.00,1437500
27-Mar-13,29350.00,30250.00,29200.00,30050.00,2141470
26-Mar-13,29600.00,29650.00,28900.00,29000.00,2077560
25-Mar-13,30250.00,30450.00,29400.00,29600.00,1989850
22-Mar-13,29700.00,30350.00,29500.00,30100.00,1529460
21-Mar-13,30600.00,30700.00,29400.00,29600.00,2326460
20-Mar-13,30900.00,31150.00,30400.00,30400.00,1289630
19-Mar-13,31300.00,31550.00,30750.00,30800.00,1898010
18-Mar-13,31300.00,32000.00,30750.00,31250.00,1840870
15-Mar-13,32950.00,33100.00,31100.00,31100.00,4570360
14-Mar-13,32000.00,33200.00,31500.00,33200.00,1770500
13-Mar-13,31850.00,32250.00,31750.00,32150.00,623650
12-Mar-13,32050.00,32250.00,31850.00,32000.00,716880
11-Mar-13,32300.00,32500.00,31800.00,32200.00,742380
8-Mar-13,32350.00,32500.00,31800.00,32300.00,1197450
7-Mar-13,33000.00,33050.00,32250.00,32350.00,883590
6-Mar-13,32900.00,33200.00,32750.00,33000.00,1161080
5-Mar-13,32500.00,33550.00,32400.00,33000.00,1811330
4-Mar-13,32400.00,33050.00,32050.00,32350.00,1615920
28-Feb-13,32750.00,33200.00,32000.00,32650.00,2338870
27-Feb-13,31150.00,32450.00,31000.00,32450.00,1618390
26-Feb-13,30950.00,31350.00,30500.00,30900.00,944880
25-Feb-13,31950.00,32000.00,31100.00,31100.00,1234960
22-Feb-13,31400.00,32250.00,31250.00,31950.00,2121400
21-Feb-13,31600.00,31700.00,31200.00,31500.00,1203850
20-Feb-13,31250.00,32000.00,31200.00,31700.00,2095450
19-Feb-13,31300.00,31300.00,30950.00,31200.00,1102890
18-Feb-13,31200.00,31800.00,31100.00,31300.00,1548420
15-Feb-13,30700.00,31150.00,30600.00,30800.00,1209430
14-Feb-13,31400.00,31500.00,30450.00,30700.00,1731590
13-Feb-13,30700.00,31550.00,30700.00,31200.00,1991170
12-Feb-13,31200.00,31350.00,30500.00,30550.00,2157300
8-Feb-13,31700.00,32050.00,30950.00,31350.00,1679700
7-Feb-13,33000.00,33200.00,31800.00,31800.00,1510970
6-Feb-13,32800.00,32950.00,31750.00,32950.00,1557780
5-Feb-13,33600.00,33850.00,32500.00,32700.00,1540450
4-Feb-13,33300.00,33800.00,33150.00,33600.00,1309460
1-Feb-13,32450.00,33500.00,32450.00,33250.00,2046020
31-Jan-13,32300.00,32800.00,32000.00,32400.00,2254810
30-Jan-13,33300.00,33400.00,32000.00,32100.00,4083780
29-Jan-13,34900.00,34950.00,33600.00,33800.00,2427960
28-Jan-13,35000.00,35400.00,34700.00,34850.00,2001950
25-Jan-13,34550.00,35200.00,34450.00,34750.00,2553250
24-Jan-13,33600.00,34650.00,33500.00,34300.00,2215280
23-Jan-13,34100.00,34200.00,33450.00,33700.00,1478850
22-Jan-13,34200.00,34600.00,34100.00,34400.00,2009700
21-Jan-13,34300.00,34450.00,33400.00,33850.00,1881430
