Date,Open,High,Low,Close,Volume
22-Jan-14,79500.00,79700.00,78500.00,79700.00,189085
21-Jan-14,79100.00,79600.00,78500.00,79400.00,217837
20-Jan-14,79500.00,79700.00,78300.00,79000.00,160535
17-Jan-14,79700.00,80900.00,79400.00,79800.00,289181
16-Jan-14,79400.00,79900.00,79000.00,79300.00,176010
15-Jan-14,78100.00,79200.00,77300.00,79200.00,225050
14-Jan-14,78600.00,79200.00,77800.00,77800.00,224048
13-Jan-14,78100.00,79600.00,77700.00,79400.00,237172
10-Jan-14,77900.00,79600.00,77600.00,78700.00,426584
9-Jan-14,81000.00,81400.00,77500.00,77500.00,832663
8-Jan-14,83000.00,83300.00,80200.00,80600.00,430157
7-Jan-14,81800.00,83100.00,81700.00,82200.00,250645
6-Jan-14,84000.00,84400.00,82000.00,82100.00,258918
3-Jan-14,83700.00,85100.00,83200.00,84000.00,332943
2-Jan-14,86800.00,87300.00,83400.00,83700.00,335661
30-Dec-13,86700.00,86900.00,85500.00,86300.00,172642
27-Dec-13,84400.00,86700.00,83800.00,86400.00,316450
26-Dec-13,83900.00,84800.00,83600.00,84300.00,312820
24-Dec-13,83200.00,84500.00,83200.00,83800.00,198518
23-Dec-13,84300.00,84800.00,83400.00,83700.00,205376
20-Dec-13,84300.00,85000.00,82800.00,84100.00,297054
19-Dec-13,84400.00,85300.00,83100.00,83700.00,364153
18-Dec-13,83900.00,84300.00,83300.00,83300.00,283188
17-Dec-13,83000.00,84500.00,82800.00,83700.00,360497
16-Dec-13,81600.00,82800.00,81400.00,82000.00,196830
13-Dec-13,81800.00,82000.00,81000.00,81500.00,190016
12-Dec-13,81500.00,82000.00,80900.00,81800.00,151683
11-Dec-13,82000.00,82900.00,81300.00,81600.00,174828
10-Dec-13,83900.00,84200.00,82300.00,82600.00,120906
9-Dec-13,83100.00,83500.00,82800.00,83400.00,176051
6-Dec-13,82700.00,83100.00,82000.00,82400.00,176474
5-Dec-13,82400.00,83100.00,82300.00,82700.00,245446
4-Dec-13,81100.00,83300.00,81100.00,82400.00,296595
3-Dec-13,82000.00,82800.00,81100.00,81400.00,252457
2-Dec-13,82800.00,83900.00,82300.00,82500.00,193441
29-Nov-13,83500.00,83800.00,82200.00,82600.00,249794
28-Nov-13,84200.00,84500.00,82800.00,83200.00,256244
27-Nov-13,81900.00,83800.00,81500.00,83800.00,264003
26-Nov-13,82600.00,83100.00,81300.00,82300.00,410503
25-Nov-13,84000.00,84700.00,82600.00,82700.00,281194
22-Nov-13,84600.00,84700.00,83300.00,83600.00,238435
21-Nov-13,84900.00,85100.00,83000.00,83700.00,273587
20-Nov-13,83900.00,86100.00,83200.00,84800.00,396985
19-Nov-13,86200.00,88300.00,83700.00,84500.00,513806
18-Nov-13,87000.00,87700.00,86100.00,86300.00,267494
15-Nov-13,83300.00,86500.00,83300.00,86300.00,398947
14-Nov-13,83000.00,83500.00,81700.00,82700.00,314682
13-Nov-13,85000.00,85000.00,82100.00,82700.00,355977
12-Nov-13,83700.00,85500.00,83400.00,85000.00,270575
11-Nov-13,85600.00,85900.00,82800.00,83000.00,316094
8-Nov-13,86500.00,86700.00,84200.00,84500.00,453856
7-Nov-13,88100.00,89200.00,87000.00,87000.00,292212
6-Nov-13,87200.00,89200.00,87200.00,88600.00,280998
5-Nov-13,87800.00,89200.00,87100.00,87800.00,286249
4-Nov-13,89500.00,89500.00,87800.00,87800.00,289877
1-Nov-13,87500.00,89200.00,87500.00,89000.00,419857
31-Oct-13,88000.00,88500.00,87000.00,87500.00,428924
30-Oct-13,88100.00,89000.00,87500.00,88800.00,344090
29-Oct-13,86600.00,89100.00,86000.00,87500.00,454746
28-Oct-13,86600.00,87100.00,85000.00,86500.00,345190
25-Oct-13,87800.00,88600.00,86000.00,86500.00,374088
24-Oct-13,86200.00,88300.00,86200.00,87800.00,367391
23-Oct-13,90000.00,90900.00,86200.00,87100.00,637635
22-Oct-13,88600.00,89900.00,87900.00,89700.00,509515
21-Oct-13,90000.00,90300.00,88500.00,88600.00,582437
18-Oct-13,89500.00,90200.00,88300.00,89900.00,931327
17-Oct-13,87500.00,91000.00,85500.00,88800.00,1902987
16-Oct-13,86800.00,88300.00,85000.00,85000.00,1015723
15-Oct-13,86500.00,87300.00,85700.00,87000.00,568340
14-Oct-13,84800.00,86700.00,84000.00,85800.00,702039
11-Oct-13,83600.00,85200.00,83600.00,84700.00,1084676
10-Oct-13,82000.00,84000.00,81700.00,82600.00,642073
8-Oct-13,80200.00,81700.00,79000.00,81700.00,597142
7-Oct-13,80500.00,81500.00,79400.00,79700.00,275295
4-Oct-13,80300.00,81200.00,78900.00,80800.00,407328
2-Oct-13,81300.00,81700.00,80400.00,80700.00,314033
1-Oct-13,82000.00,82500.00,80100.00,80500.00,606333
30-Sep-13,82700.00,82900.00,81800.00,82700.00,419733
27-Sep-13,83900.00,83900.00,82100.00,83700.00,656948
26-Sep-13,79500.00,84000.00,79300.00,83900.00,1018753
25-Sep-13,81500.00,81500.00,79100.00,79200.00,948280
24-Sep-13,82600.00,83000.00,80500.00,81500.00,596791
23-Sep-13,84100.00,84300.00,81100.00,82000.00,655012
17-Sep-13,84000.00,84000.00,82400.00,83700.00,474308
16-Sep-13,80500.00,84400.00,80500.00,84000.00,893123
13-Sep-13,82000.00,82200.00,79400.00,79800.00,814641
12-Sep-13,83900.00,83900.00,81900.00,82500.00,786615
