Date,Open,High,Low,Close,Volume
22-Jan-14,58900.00,59100.00,57700.00,58300.00,548741
21-Jan-14,58500.00,59000.00,58500.00,58800.00,287792
20-Jan-14,57700.00,58700.00,57600.00,58500.00,202563
17-Jan-14,58400.00,59000.00,57900.00,58100.00,235110
16-Jan-14,58600.00,59100.00,58200.00,58400.00,275902
15-Jan-14,56800.00,58500.00,56700.00,58400.00,442493
14-Jan-14,57000.00,57700.00,56600.00,56700.00,498285
13-Jan-14,57700.00,58100.00,57100.00,57600.00,382731
10-Jan-14,57600.00,58600.00,57100.00,57700.00,508470
9-Jan-14,57700.00,58600.00,56900.00,57400.00,647095
8-Jan-14,57500.00,58300.00,57000.00,57700.00,444342
7-Jan-14,56100.00,57100.00,56100.00,56800.00,483764
6-Jan-14,57700.00,57900.00,55500.00,56700.00,830784
3-Jan-14,58800.00,59300.00,57100.00,57700.00,505482
2-Jan-14,61000.00,61400.00,58900.00,59000.00,437755
30-Dec-13,59400.00,60700.00,58800.00,60600.00,449626
27-Dec-13,58900.00,59500.00,58800.00,59000.00,259907
26-Dec-13,59200.00,59500.00,58700.00,58700.00,472677
24-Dec-13,58800.00,59800.00,58400.00,59200.00,439644
23-Dec-13,58300.00,58700.00,57900.00,58500.00,396256
20-Dec-13,58400.00,59000.00,57900.00,58100.00,372011
19-Dec-13,59700.00,59700.00,58400.00,58500.00,373266
18-Dec-13,58300.00,59100.00,58000.00,58700.00,352555
17-Dec-13,58400.00,58900.00,58200.00,58500.00,286133
16-Dec-13,56900.00,58100.00,56600.00,57900.00,480548
13-Dec-13,57500.00,57600.00,55800.00,57500.00,839963
12-Dec-13,59000.00,59100.00,57200.00,57300.00,1031695
11-Dec-13,60500.00,60800.00,59200.00,59200.00,407508
10-Dec-13,61200.00,61200.00,60300.00,60600.00,169000
9-Dec-13,60800.00,61200.00,60700.00,60800.00,287066
6-Dec-13,60400.00,61100.00,60300.00,60400.00,248275
5-Dec-13,60200.00,61000.00,60200.00,60500.00,322973
4-Dec-13,60800.00,61300.00,60300.00,60500.00,443956
3-Dec-13,61500.00,61500.00,60500.00,60700.00,790911
2-Dec-13,63400.00,63500.00,60000.00,61700.00,1763311
29-Nov-13,63200.00,63500.00,62500.00,63200.00,319936
28-Nov-13,62800.00,63600.00,62500.00,63500.00,454869
27-Nov-13,62200.00,62700.00,62000.00,62500.00,342678
26-Nov-13,62500.00,62800.00,61600.00,62400.00,569094
25-Nov-13,64000.00,64300.00,62700.00,62800.00,296200
22-Nov-13,63000.00,63500.00,62200.00,63000.00,216433
21-Nov-13,63400.00,63400.00,61300.00,62700.00,603061
20-Nov-13,62900.00,63900.00,62800.00,63300.00,403087
19-Nov-13,62600.00,63900.00,62300.00,63200.00,487257
18-Nov-13,62700.00,63100.00,62100.00,62600.00,319175
15-Nov-13,62200.00,63200.00,61800.00,62700.00,402590
14-Nov-13,61300.00,62000.00,60700.00,61300.00,305744
13-Nov-13,61900.00,62500.00,61000.00,61100.00,208598
12-Nov-13,61100.00,62800.00,61100.00,62200.00,337824
11-Nov-13,62600.00,63000.00,61000.00,61400.00,389881
8-Nov-13,62300.00,63400.00,62300.00,62500.00,262050
7-Nov-13,62900.00,63800.00,62800.00,63000.00,213073
6-Nov-13,62700.00,63600.00,62300.00,63400.00,332250
5-Nov-13,64600.00,64900.00,62800.00,62900.00,324981
4-Nov-13,63400.00,64900.00,63100.00,64400.00,457977
1-Nov-13,63000.00,63900.00,63000.00,63900.00,307753
31-Oct-13,64800.00,65000.00,62700.00,63000.00,571171
30-Oct-13,65300.00,65500.00,64700.00,65200.00,264441
