Date,Open,High,Low,Close,Volume
17-Jan-14,37100.00,37500.00,36650.00,37000.00,1547930
16-Jan-14,36600.00,37000.00,36350.00,36800.00,820550
15-Jan-14,35800.00,36900.00,35350.00,36800.00,1131660
14-Jan-14,35050.00,35850.00,35000.00,35400.00,515250
13-Jan-14,35500.00,35750.00,34550.00,35350.00,700180
10-Jan-14,36750.00,36750.00,35100.00,35400.00,1087000
9-Jan-14,36800.00,37350.00,36500.00,36500.00,711840
8-Jan-14,36800.00,37200.00,36250.00,36800.00,1009370
7-Jan-14,35350.00,36850.00,35050.00,36800.00,1518580
6-Jan-14,34800.00,35500.00,34650.00,35350.00,880190
3-Jan-14,34750.00,34850.00,33600.00,34600.00,798490
2-Jan-14,35400.00,36150.00,34750.00,34900.00,1163120
30-Dec-13,34800.00,35000.00,34250.00,35000.00,516840
27-Dec-13,33900.00,34700.00,33900.00,34700.00,537740
26-Dec-13,35000.00,35050.00,33800.00,34000.00,881130
24-Dec-13,34500.00,34800.00,34200.00,34750.00,742010
23-Dec-13,34300.00,34700.00,33900.00,34100.00,590780
20-Dec-13,34900.00,34950.00,33750.00,34000.00,801650
19-Dec-13,36050.00,36100.00,34500.00,34700.00,822490
18-Dec-13,35300.00,35750.00,34700.00,35200.00,827470
17-Dec-13,34600.00,35350.00,34550.00,35300.00,1053980
16-Dec-13,33000.00,34400.00,32900.00,34150.00,1007940
13-Dec-13,33900.00,33900.00,32400.00,32850.00,1091640
12-Dec-13,33250.00,34100.00,33150.00,33800.00,705580
11-Dec-13,34100.00,34500.00,33050.00,33500.00,1018590
10-Dec-13,34950.00,35000.00,33950.00,34200.00,1011270
9-Dec-13,34800.00,35550.00,34750.00,35000.00,974660
6-Dec-13,33500.00,34550.00,33250.00,34200.00,967190
5-Dec-13,34150.00,34800.00,33000.00,33650.00,1739470
4-Dec-13,35200.00,35450.00,34150.00,34200.00,1198920
3-Dec-13,35150.00,35850.00,35150.00,35500.00,792750
2-Dec-13,36700.00,36700.00,35350.00,35450.00,1142490
29-Nov-13,36850.00,37200.00,36400.00,36700.00,703910
28-Nov-13,36850.00,37300.00,36600.00,36800.00,1211090
27-Nov-13,36250.00,36850.00,36100.00,36850.00,994760
26-Nov-13,36150.00,36400.00,35550.00,36250.00,939570
25-Nov-13,36600.00,37200.00,35800.00,35950.00,1440960
22-Nov-13,37600.00,37650.00,36000.00,36300.00,1697500
21-Nov-13,37500.00,37700.00,36500.00,37100.00,1968130
20-Nov-13,36350.00,37600.00,36050.00,37050.00,3181580
19-Nov-13,37400.00,38550.00,36850.00,37000.00,1897770
18-Nov-13,37300.00,37450.00,36550.00,37300.00,1021150
15-Nov-13,34900.00,37000.00,34900.00,36950.00,2152130
14-Nov-13,35300.00,35550.00,33900.00,34150.00,1308670
13-Nov-13,35850.00,36750.00,34400.00,34700.00,1607420
12-Nov-13,35400.00,36100.00,35350.00,35950.00,1067720
11-Nov-13,35400.00,36150.00,34700.00,35050.00,1237920
8-Nov-13,34100.00,35700.00,33550.00,34850.00,1050370
7-Nov-13,35150.00,35150.00,34100.00,34150.00,581900
6-Nov-13,34100.00,35000.00,33800.00,34850.00,1053800
5-Nov-13,33900.00,34700.00,33500.00,34050.00,731220
4-Nov-13,33700.00,35150.00,33200.00,33900.00,1118510
1-Nov-13,33550.00,34100.00,32850.00,34100.00,1042510
31-Oct-13,34500.00,34650.00,33100.00,33450.00,2644890
30-Oct-13,35800.00,35950.00,34900.00,35400.00,636050
29-Oct-13,35200.00,36250.00,34800.00,35500.00,1202330
28-Oct-13,34600.00,35350.00,33500.00,35050.00,1698930
25-Oct-13,36650.00,36650.00,34400.00,34600.00,1983030
24-Oct-13,35250.00,36650.00,35250.00,36550.00,1273140
23-Oct-13,37450.00,37550.00,34850.00,35150.00,1632790
22-Oct-13,37050.00,37500.00,36300.00,37100.00,1263510
21-Oct-13,37550.00,38250.00,36600.00,37300.00,1145280
18-Oct-13,38500.00,38750.00,37050.00,37800.00,1142200
17-Oct-13,37700.00,38850.00,37650.00,38400.00,1833680
16-Oct-13,36800.00,37900.00,36750.00,37000.00,986120
15-Oct-13,36100.00,37450.00,30400.00,36800.00,1546070
14-Oct-13,35800.00,36200.00,35500.00,35750.00,651550
11-Oct-13,35650.00,35650.00,35150.00,35600.00,655900
10-Oct-13,35350.00,35500.00,34900.00,35100.00,551370
8-Oct-13,34000.00,35400.00,33750.00,35350.00,1007350
7-Oct-13,34000.00,34400.00,33600.00,34000.00,436350
4-Oct-13,34150.00,34150.00,33250.00,34000.00,709270
2-Oct-13,34700.00,34700.00,34000.00,34250.00,558480
1-Oct-13,34500.00,34900.00,33600.00,34150.00,766260
30-Sep-13,34300.00,34850.00,34050.00,34600.00,823570
27-Sep-13,34100.00,34850.00,34000.00,34650.00,1225190
26-Sep-13,32900.00,34050.00,32900.00,33850.00,1546210
25-Sep-13,32700.00,33600.00,32600.00,32850.00,933760
24-Sep-13,33750.00,33800.00,32350.00,33000.00,1458910
23-Sep-13,34350.00,34950.00,33900.00,34100.00,997820
17-Sep-13,33200.00,34200.00,32800.00,33950.00,1210460
16-Sep-13,32650.00,33500.00,32600.00,33050.00,1115840
13-Sep-13,32650.00,32900.00,32050.00,32300.00,1087180
12-Sep-13,33400.00,33500.00,32500.00,32950.00,979620
11-Sep-13,33000.00,33250.00,32400.00,33250.00,1211540
10-Sep-13,32000.00,33450.00,31850.00,32800.00,2272260
9-Sep-13,30750.00,31850.00,30650.00,31800.00,2170560
6-Sep-13,30650.00,30950.00,30250.00,30350.00,891380
5-Sep-13,30750.00,30850.00,30350.00,30600.00,850150
4-Sep-13,30350.00,30800.00,29950.00,30500.00,1240260
3-Sep-13,29800.00,30650.00,29750.00,30200.00,1321010
2-Sep-13,29650.00,29900.00,28950.00,29400.00,922390
30-Aug-13,29800.00,29900.00,29450.00,29650.00,752280
29-Aug-13,30200.00,30250.00,29400.00,29550.00,912740
28-Aug-13,29750.00,30300.00,29600.00,29900.00,1056860
27-Aug-13,30000.00,30900.00,29950.00,30050.00,1438970
26-Aug-13,29900.00,30200.00,29500.00,30100.00,1075000
23-Aug-13,28900.00,29900.00,28550.00,29700.00,1343190
22-Aug-13,29000.00,29000.00,28350.00,28500.00,804680
21-Aug-13,29650.00,29900.00,28850.00,29200.00,1189510
20-Aug-13,28850.00,30050.00,28750.00,29300.00,2239090
19-Aug-13,28100.00,29250.00,28000.00,29000.00,2008340
16-Aug-13,27700.00,28100.00,27700.00,27950.00,1012050
14-Aug-13,28900.00,28900.00,27950.00,28250.00,1057380
13-Aug-13,28650.00,29000.00,28400.00,28700.00,693890
12-Aug-13,28300.00,28800.00,28000.00,28600.00,423840
9-Aug-13,28650.00,28950.00,28100.00,28450.00,510530
8-Aug-13,28100.00,29000.00,28050.00,28500.00,735850
7-Aug-13,27600.00,28250.00,27600.00,27950.00,552750
6-Aug-13,28700.00,28800.00,27600.00,28000.00,1347240
5-Aug-13,28350.00,28950.00,28050.00,28700.00,624620
2-Aug-13,29300.00,29400.00,28200.00,28200.00,1116510
1-Aug-13,29500.00,29550.00,28750.00,29050.00,831530
31-Jul-13,29500.00,29950.00,29300.00,29650.00,851700
30-Jul-13,29300.00,29500.00,29050.00,29300.00,363560
29-Jul-13,29300.00,29450.00,28700.00,29300.00,437860
26-Jul-13,28750.00,29900.00,28750.00,29200.00,820270
25-Jul-13,28950.00,29200.00,28500.00,28900.00,622190
24-Jul-13,29200.00,29500.00,28600.00,28950.00,604630
23-Jul-13,29900.00,30200.00,28800.00,29000.00,1128450
22-Jul-13,28700.00,30050.00,28600.00,29700.00,1389890
19-Jul-13,28500.00,29000.00,28250.00,28800.00,963890
18-Jul-13,28350.00,28550.00,27950.00,28200.00,648510
17-Jul-13,28550.00,28850.00,28050.00,28500.00,649900
16-Jul-13,28650.00,28950.00,28250.00,28250.00,1073560
15-Jul-13,27500.00,28550.00,27250.00,28250.00,960420
12-Jul-13,27600.00,28000.00,27250.00,27800.00,794470
11-Jul-13,27500.00,27700.00,27200.00,27550.00,1070130
10-Jul-13,27300.00,27750.00,27150.00,27250.00,1196370
9-Jul-13,26950.00,27450.00,26450.00,27200.00,1014800
8-Jul-13,26400.00,27200.00,26200.00,26650.00,2056650
5-Jul-13,26050.00,26350.00,25750.00,25800.00,1934800
4-Jul-13,24900.00,25250.00,24800.00,24850.00,600210
3-Jul-13,25600.00,26050.00,24400.00,24800.00,1085240
2-Jul-13,25350.00,25700.00,25150.00,25600.00,791030
1-Jul-13,25200.00,25650.00,25050.00,25250.00,697310
28-Jun-13,24500.00,25400.00,24350.00,25250.00,1020040
27-Jun-13,24200.00,24450.00,23900.00,24350.00,890340
26-Jun-13,24250.00,24350.00,23450.00,23700.00,534480
25-Jun-13,24000.00,24200.00,23550.00,23650.00,925210
24-Jun-13,24550.00,24600.00,24000.00,24000.00,793150
21-Jun-13,24550.00,24800.00,23950.00,24550.00,1495550
20-Jun-13,24600.00,25350.00,24600.00,25000.00,1525620
19-Jun-13,24600.00,25150.00,24600.00,25000.00,1331210
18-Jun-13,25100.00,25150.00,24450.00,24650.00,1119360
17-Jun-13,24950.00,25400.00,24400.00,25050.00,794140
14-Jun-13,25850.00,26100.00,24900.00,25200.00,845100
13-Jun-13,25300.00,25700.00,25050.00,25450.00,738250
12-Jun-13,25400.00,25700.00,25150.00,25450.00,575720
11-Jun-13,25400.00,25800.00,24950.00,25450.00,1397000
10-Jun-13,26700.00,26750.00,24450.00,25900.00,2671650
7-Jun-13,26700.00,27000.00,26200.00,26500.00,925170
5-Jun-13,27300.00,27350.00,26450.00,26750.00,1380870
4-Jun-13,26300.00,27200.00,26300.00,27200.00,2554640
3-Jun-13,25700.00,26400.00,25600.00,25950.00,1184010
31-May-13,25400.00,26200.00,25400.00,25750.00,1607500
30-May-13,25000.00,25250.00,24750.00,25150.00,672960
29-May-13,25300.00,25600.00,25100.00,25100.00,1122110
28-May-13,25200.00,25650.00,25000.00,25100.00,1232550
27-May-13,24250.00,25100.00,24150.00,24900.00,1450910
24-May-13,25000.00,25050.00,24050.00,24200.00,1768840
23-May-13,25700.00,25900.00,24700.00,24850.00,1506530
22-May-13,25500.00,25950.00,25500.00,25600.00,1159900
21-May-13,26000.00,26400.00,25700.00,25800.00,1018340
20-May-13,25550.00,26050.00,25300.00,25750.00,1889210
16-May-13,27100.00,27500.00,25550.00,25600.00,6770060
15-May-13,28400.00,29100.00,28200.00,28600.00,910480
14-May-13,28050.00,28400.00,27600.00,28400.00,890680
13-May-13,28000.00,28400.00,27550.00,28000.00,641300
10-May-13,28250.00,28900.00,27750.00,27950.00,1100690
9-May-13,26950.00,28400.00,26950.00,28400.00,1552780
8-May-13,27350.00,27350.00,26700.00,26950.00,440690
7-May-13,27200.00,27300.00,26650.00,26950.00,717300
6-May-13,26600.00,27250.00,26600.00,26900.00,991300
3-May-13,26200.00,26650.00,26100.00,26250.00,752690
2-May-13,26250.00,26500.00,25650.00,26000.00,692450
30-Apr-13,25550.00,26650.00,25500.00,26450.00,1176890
29-Apr-13,26350.00,26550.00,25250.00,25300.00,827450
26-Apr-13,26300.00,27000.00,25900.00,26150.00,1141900
25-Apr-13,26050.00,26350.00,25650.00,26100.00,568860
24-Apr-13,25950.00,26500.00,25850.00,26000.00,1043320
23-Apr-13,25400.00,25800.00,25300.00,25600.00,856130
22-Apr-13,24900.00,25550.00,24550.00,25250.00,1205430
19-Apr-13,24100.00,24750.00,23850.00,24700.00,937130
18-Apr-13,24200.00,24700.00,24000.00,24200.00,1014140
17-Apr-13,23850.00,24750.00,23000.00,24700.00,2425760
16-Apr-13,23850.00,24000.00,23250.00,23600.00,2117970
15-Apr-13,24650.00,24750.00,23650.00,24200.00,1851520
12-Apr-13,26550.00,26700.00,24300.00,24400.00,2796010
11-Apr-13,27300.00,27300.00,25900.00,26550.00,939480
10-Apr-13,26600.00,27100.00,26250.00,26900.00,815920
9-Apr-13,26750.00,27100.00,26050.00,26500.00,787450
8-Apr-13,25500.00,27050.00,25500.00,26750.00,1544310
5-Apr-13,26000.00,26300.00,25500.00,25800.00,782540
