Date,Open,High,Low,Close,Volume
22-Jan-14,229500.00,231000.00,225500.00,230000.00,52702
21-Jan-14,235000.00,235000.00,228000.00,229500.00,32212
20-Jan-14,227000.00,234500.00,225500.00,231000.00,29890
17-Jan-14,228500.00,234500.00,228000.00,228000.00,50713
16-Jan-14,227500.00,232000.00,225000.00,228500.00,39700
15-Jan-14,221500.00,232000.00,220500.00,228500.00,64477
14-Jan-14,223000.00,228500.00,219500.00,219500.00,56664
13-Jan-14,223000.00,229500.00,220000.00,223000.00,119605
10-Jan-14,218500.00,220000.00,211500.00,217500.00,78027
9-Jan-14,224000.00,224000.00,216000.00,218500.00,68053
8-Jan-14,223500.00,225000.00,220000.00,224000.00,34229
7-Jan-14,222500.00,230500.00,222500.00,223000.00,36441
6-Jan-14,224000.00,227000.00,223000.00,224000.00,38676
3-Jan-14,224500.00,226500.00,222500.00,225000.00,45429
2-Jan-14,234500.00,234500.00,219000.00,224500.00,91022
30-Dec-13,225500.00,234000.00,225500.00,231000.00,66859
27-Dec-13,220500.00,229000.00,220500.00,225000.00,35649
26-Dec-13,225500.00,228500.00,221500.00,221500.00,65845
24-Dec-13,223000.00,227500.00,221000.00,223000.00,54012
23-Dec-13,220000.00,222000.00,217500.00,221000.00,33547
20-Dec-13,215500.00,219000.00,213000.00,218500.00,57487
19-Dec-13,221500.00,222000.00,210500.00,215000.00,69366
18-Dec-13,219500.00,220000.00,216500.00,219000.00,53171
17-Dec-13,224500.00,224500.00,215000.00,218000.00,90287
16-Dec-13,220500.00,225500.00,218000.00,222000.00,45766
13-Dec-13,221000.00,223000.00,218500.00,220500.00,44649
12-Dec-13,217000.00,222000.00,216500.00,219500.00,29227
11-Dec-13,223500.00,223500.00,217000.00,218500.00,57529
10-Dec-13,223500.00,225000.00,218000.00,220000.00,33820
9-Dec-13,224000.00,228000.00,219500.00,221000.00,38893
6-Dec-13,221000.00,223000.00,219000.00,219500.00,45446
5-Dec-13,225500.00,226000.00,217500.00,221500.00,45257
4-Dec-13,221000.00,226000.00,220500.00,224500.00,40158
3-Dec-13,231000.00,231500.00,220500.00,223000.00,73465
2-Dec-13,235000.00,236000.00,230500.00,230500.00,32895
29-Nov-13,235500.00,236500.00,232000.00,236000.00,37791
28-Nov-13,231500.00,240500.00,231500.00,236500.00,93591
27-Nov-13,227500.00,233000.00,227000.00,232000.00,38644
26-Nov-13,227000.00,229500.00,226500.00,228000.00,46779
25-Nov-13,229500.00,234000.00,226000.00,227000.00,42797
22-Nov-13,231500.00,232000.00,227500.00,229000.00,39740
21-Nov-13,234000.00,234500.00,227000.00,229500.00,48913
20-Nov-13,237000.00,238500.00,231000.00,235500.00,51695
19-Nov-13,236000.00,239000.00,235500.00,238500.00,39770
