Date,Open,High,Low,Close,Volume
17-Jan-14,39750.00,39750.00,39000.00,39100.00,586090
16-Jan-14,40050.00,40250.00,39400.00,39500.00,721780
15-Jan-14,39500.00,40050.00,39400.00,40000.00,700280
14-Jan-14,39700.00,39950.00,39000.00,39300.00,728290
13-Jan-14,39800.00,40100.00,39650.00,39850.00,526050
10-Jan-14,40450.00,40650.00,39500.00,39600.00,778120
9-Jan-14,40900.00,41250.00,40400.00,40600.00,842150
8-Jan-14,40450.00,41400.00,40200.00,40750.00,731570
7-Jan-14,40050.00,40650.00,39850.00,40300.00,617960
6-Jan-14,40650.00,40900.00,39950.00,40250.00,815340
3-Jan-14,41750.00,41850.00,40250.00,40700.00,1031160
2-Jan-14,42600.00,43150.00,41450.00,42100.00,1122110
30-Dec-13,41050.00,42450.00,41050.00,42250.00,1329430
27-Dec-13,41000.00,41450.00,40450.00,41350.00,817780
26-Dec-13,41200.00,41250.00,40700.00,41250.00,1044770
24-Dec-13,41300.00,41550.00,40400.00,40950.00,1281740
23-Dec-13,40950.00,41650.00,40750.00,41000.00,1009510
20-Dec-13,39750.00,40900.00,39750.00,40500.00,913810
19-Dec-13,40400.00,40750.00,39750.00,39950.00,904160
18-Dec-13,39350.00,40200.00,39200.00,39950.00,1227210
17-Dec-13,38800.00,39250.00,38650.00,39250.00,439080
16-Dec-13,38800.00,39250.00,38500.00,38800.00,574330
13-Dec-13,38750.00,39350.00,38050.00,39350.00,594730
12-Dec-13,39150.00,39500.00,38800.00,39300.00,710370
11-Dec-13,39800.00,39900.00,39100.00,39350.00,798560
10-Dec-13,40550.00,40550.00,39950.00,40350.00,688100
9-Dec-13,40000.00,40350.00,39700.00,40250.00,942910
6-Dec-13,39450.00,39600.00,39000.00,39400.00,398410
5-Dec-13,39450.00,39700.00,38650.00,39400.00,876880
4-Dec-13,39900.00,39900.00,39300.00,39650.00,539040
3-Dec-13,39700.00,40050.00,39350.00,39900.00,575100
2-Dec-13,40300.00,41250.00,39900.00,40000.00,655340
29-Nov-13,39400.00,39800.00,39400.00,39700.00,546470
28-Nov-13,39500.00,39850.00,39200.00,39700.00,704420
27-Nov-13,39750.00,39750.00,39100.00,39450.00,889870
26-Nov-13,40000.00,40000.00,39000.00,39750.00,787360
25-Nov-13,39750.00,40550.00,39650.00,40100.00,805770
22-Nov-13,39900.00,40300.00,39700.00,39950.00,555070
21-Nov-13,39950.00,40050.00,39300.00,39850.00,718560
20-Nov-13,39950.00,40500.00,39700.00,40200.00,874410
19-Nov-13,39550.00,40900.00,39550.00,40300.00,779230
18-Nov-13,39650.00,40250.00,39150.00,40100.00,939950
15-Nov-13,38900.00,40300.00,38750.00,39950.00,1721050
14-Nov-13,38750.00,39000.00,38000.00,38400.00,1369170
13-Nov-13,39550.00,39850.00,38000.00,38750.00,1146280
12-Nov-13,39700.00,39950.00,39150.00,39450.00,682030
11-Nov-13,39450.00,39950.00,39150.00,39150.00,541410
8-Nov-13,40000.00,40000.00,38950.00,39450.00,948490
7-Nov-13,40200.00,40200.00,39350.00,39700.00,558660
6-Nov-13,40000.00,40000.00,39300.00,39950.00,672130
5-Nov-13,39900.00,40500.00,39700.00,39950.00,672100
4-Nov-13,41150.00,41150.00,39700.00,40250.00,1345770
1-Nov-13,41800.00,41900.00,40800.00,41150.00,1034740
31-Oct-13,41950.00,42300.00,41050.00,42000.00,966550
30-Oct-13,41750.00,42650.00,41200.00,42400.00,1131170
29-Oct-13,41200.00,41800.00,40650.00,41500.00,1025820
28-Oct-13,41450.00,41850.00,40800.00,41600.00,1429950
25-Oct-13,42000.00,42200.00,41300.00,42000.00,1082790
24-Oct-13,41700.00,42250.00,41250.00,42200.00,1194590
23-Oct-13,42600.00,42900.00,41300.00,41400.00,2064090
22-Oct-13,43000.00,43250.00,42650.00,42900.00,1669760
21-Oct-13,43950.00,44250.00,42900.00,43300.00,1483840
18-Oct-13,42500.00,43950.00,42500.00,43950.00,1714390
