Date,Open,High,Low,Close,Volume
22-Jan-14,234500.00,238000.00,233500.00,236500.00,292326
21-Jan-14,231500.00,237000.00,229500.00,236000.00,425068
20-Jan-14,230000.00,232000.00,227000.00,231000.00,218555
17-Jan-14,232000.00,233000.00,228500.00,228500.00,331348
16-Jan-14,231000.00,235000.00,230500.00,233000.00,276890
15-Jan-14,235000.00,236000.00,230000.00,231000.00,357245
14-Jan-14,231500.00,238000.00,231000.00,232000.00,690251
13-Jan-14,221500.00,231000.00,221500.00,228000.00,392781
10-Jan-14,224000.00,224500.00,219000.00,221000.00,424833
9-Jan-14,228500.00,231500.00,224500.00,224500.00,350128
8-Jan-14,230000.00,231500.00,228500.00,229500.00,242267
7-Jan-14,232000.00,232000.00,228500.00,229000.00,463551
6-Jan-14,224000.00,231000.00,222500.00,228500.00,644007
3-Jan-14,226500.00,228000.00,222500.00,224000.00,569059
2-Jan-14,236500.00,238000.00,224500.00,224500.00,711554
30-Dec-13,232000.00,236500.00,231000.00,236500.00,469678
27-Dec-13,225500.00,230500.00,225500.00,229500.00,291603
26-Dec-13,227000.00,227500.00,225000.00,225500.00,370258
24-Dec-13,228000.00,228500.00,224500.00,226000.00,389009
23-Dec-13,226000.00,229500.00,225500.00,228500.00,464281
20-Dec-13,220000.00,226000.00,219500.00,224500.00,608922
19-Dec-13,229500.00,230000.00,217500.00,220500.00,1089954
18-Dec-13,226500.00,235500.00,226000.00,227500.00,804000
17-Dec-13,229000.00,230500.00,225000.00,227000.00,596661
16-Dec-13,231500.00,231500.00,228000.00,228000.00,385868
13-Dec-13,230000.00,232000.00,227000.00,231500.00,659560
12-Dec-13,228500.00,232000.00,227500.00,230000.00,821209
11-Dec-13,229500.00,231500.00,226500.00,229000.00,579004
10-Dec-13,231500.00,233000.00,228000.00,228500.00,542052
9-Dec-13,232500.00,233500.00,228000.00,230000.00,512122
6-Dec-13,232000.00,233500.00,230000.00,230000.00,448748
5-Dec-13,234500.00,235500.00,229500.00,232500.00,675402
4-Dec-13,237000.00,241000.00,233000.00,233000.00,679840
3-Dec-13,247500.00,249000.00,237000.00,239000.00,858150
2-Dec-13,252000.00,253500.00,249000.00,249500.00,207375
