Date,Open,High,Low,Close,Volume
22-Jan-14,330000.00,334000.00,328000.00,332000.00,32194
21-Jan-14,337000.00,338500.00,328500.00,333500.00,65204
20-Jan-14,322000.00,339500.00,322000.00,339000.00,122017
17-Jan-14,324000.00,328000.00,323500.00,324500.00,56884
16-Jan-14,322000.00,325000.00,320000.00,322500.00,52185
15-Jan-14,312000.00,322000.00,312000.00,322000.00,78759
14-Jan-14,318000.00,318500.00,310500.00,314500.00,49586
13-Jan-14,309500.00,319500.00,309500.00,316500.00,55147
10-Jan-14,309000.00,312500.00,304000.00,309000.00,40081
9-Jan-14,313000.00,314500.00,306500.00,308500.00,55901
8-Jan-14,312000.00,316500.00,309500.00,315000.00,40209
7-Jan-14,315000.00,317500.00,310000.00,314500.00,47310
6-Jan-14,312500.00,321500.00,310500.00,317000.00,54997
3-Jan-14,318000.00,320000.00,311500.00,315000.00,69949
2-Jan-14,317500.00,319000.00,308000.00,315500.00,77511
30-Dec-13,318000.00,322000.00,313500.00,318000.00,92048
27-Dec-13,308500.00,321500.00,307500.00,316000.00,157945
26-Dec-13,308500.00,311500.00,307000.00,307500.00,90188
24-Dec-13,303500.00,309500.00,300000.00,305500.00,71154
23-Dec-13,295000.00,304500.00,295000.00,304000.00,81324
20-Dec-13,292000.00,295000.00,288000.00,294500.00,92074
19-Dec-13,295000.00,301500.00,293500.00,299000.00,115513
18-Dec-13,278000.00,296500.00,277500.00,293500.00,112475
17-Dec-13,281500.00,281500.00,276500.00,278000.00,43125
16-Dec-13,275000.00,277500.00,274500.00,277500.00,22788
13-Dec-13,278000.00,279500.00,275500.00,276500.00,42014
12-Dec-13,282000.00,284000.00,277500.00,281500.00,48443
11-Dec-13,280500.00,288000.00,280500.00,282000.00,80735
10-Dec-13,274500.00,279000.00,274000.00,278500.00,29190
9-Dec-13,278000.00,278500.00,275000.00,276000.00,18805
6-Dec-13,271500.00,278500.00,269500.00,276000.00,43728
5-Dec-13,276500.00,279500.00,273000.00,275500.00,46346
4-Dec-13,280000.00,280000.00,273000.00,273500.00,65130
3-Dec-13,280000.00,281500.00,276000.00,280000.00,78617
2-Dec-13,289000.00,290000.00,282000.00,284000.00,42956
29-Nov-13,286000.00,289000.00,285000.00,288000.00,38847
28-Nov-13,281500.00,287000.00,281000.00,285000.00,47689
27-Nov-13,287000.00,287000.00,280500.00,283500.00,39867
26-Nov-13,279000.00,284500.00,279000.00,284500.00,39502
25-Nov-13,281500.00,285500.00,281500.00,281500.00,59989
22-Nov-13,281500.00,284000.00,281000.00,283000.00,38077
21-Nov-13,289000.00,289500.00,278500.00,280500.00,163663
20-Nov-13,292000.00,293000.00,289000.00,291000.00,49683
19-Nov-13,293500.00,295500.00,290000.00,293500.00,86986
