Date,Open,High,Low,Close,Volume
22-Jan-14,700000.00,705000.00,693000.00,704000.00,100490
21-Jan-14,716000.00,716000.00,698000.00,700000.00,110470
20-Jan-14,715000.00,728000.00,714000.00,717000.00,73457
17-Jan-14,720000.00,721000.00,708000.00,715000.00,93534
16-Jan-14,704000.00,721000.00,701000.00,720000.00,161331
15-Jan-14,674000.00,695000.00,667000.00,693000.00,156858
14-Jan-14,668000.00,686000.00,662000.00,667000.00,195028
13-Jan-14,695000.00,701000.00,664000.00,670000.00,184826
10-Jan-14,662000.00,692000.00,662000.00,690000.00,193411
9-Jan-14,695000.00,698000.00,671000.00,671000.00,203267
8-Jan-14,714000.00,727000.00,686000.00,700000.00,227012
7-Jan-14,701000.00,708000.00,699000.00,700000.00,128536
6-Jan-14,705000.00,713000.00,691000.00,699000.00,172996
3-Jan-14,725000.00,725000.00,694000.00,699000.00,218742
2-Jan-14,739000.00,742000.00,724000.00,725000.00,109130
30-Dec-13,717000.00,727000.00,716000.00,724000.00,116420
27-Dec-13,723000.00,740000.00,721000.00,734000.00,105203
26-Dec-13,734000.00,735000.00,713000.00,714000.00,167835
24-Dec-13,750000.00,751000.00,734000.00,734000.00,136017
23-Dec-13,742000.00,745000.00,734000.00,740000.00,126916
20-Dec-13,739000.00,742000.00,721000.00,736000.00,138716
19-Dec-13,722000.00,736000.00,711000.00,730000.00,166345
18-Dec-13,732000.00,735000.00,706000.00,710000.00,229556
17-Dec-13,714000.00,740000.00,712000.00,732000.00,173031
16-Dec-13,708000.00,715000.00,701000.00,708000.00,103868
13-Dec-13,722000.00,728000.00,700000.00,703000.00,171645
12-Dec-13,718000.00,724000.00,705000.00,714000.00,105279
11-Dec-13,720000.00,722000.00,709000.00,717000.00,93628
10-Dec-13,713000.00,728000.00,703000.00,709000.00,165278
9-Dec-13,712000.00,719000.00,705000.00,709000.00,154825
6-Dec-13,681000.00,719000.00,680000.00,710000.00,172384
5-Dec-13,681000.00,689000.00,672000.00,676000.00,158284
4-Dec-13,684000.00,694000.00,667000.00,673000.00,130219
